k: 5	 tau: 0.2	 w: [0.6, 0.4]	 tpr: 0.19	 fpr: 0.01
k: 5	 tau: 0.2	 w: [0.7, 0.3]	 tpr: 0.55	 fpr: 0.03
k: 5	 tau: 0.2	 w: [0.8, 0.2]	 tpr: 0.56	 fpr: 0.04
k: 5	 tau: 0.2	 w: [0.9, 0.1]	 tpr: 0.57	 fpr: 0.09
k: 20	 tau: 0.2	 w: [0.6, 0.4]	 tpr: 0.03	 fpr: 0.07
k: 20	 tau: 0.2	 w: [0.7, 0.3]	 tpr: 0.05	 fpr: 0.13
k: 20	 tau: 0.2	 w: [0.8, 0.2]	 tpr: 0.08	 fpr: 0.25
k: 20	 tau: 0.25	 w: [0.6, 0.4]	 tpr: 0.04	 fpr: 0.07
k: 20	 tau: 0.25	 w: [0.7, 0.3]	 tpr: 0.06	 fpr: 0.13
k: 20	 tau: 0.25	 w: [0.8, 0.2]	 tpr: 0.07	 fpr: 0.24
k: 20	 tau: 0.3	 w: [0.6, 0.4]	 tpr: 0.03	 fpr: 0.06
k: 20	 tau: 0.3	 w: [0.7, 0.3]	 tpr: 0.05	 fpr: 0.12
k: 20	 tau: 0.3	 w: [0.8, 0.2]	 tpr: 0.07	 fpr: 0.22
k: 20	 tau: 0.5	 w: [0.3, 0.7]	 tpr: 0.02	 fpr: 0.00
k: 20	 tau: 0.5	 w: [0.4, 0.6]	 tpr: 0.05	 fpr: 0.01
k: 20	 tau: 0.5	 w: [0.5, 0.5]	 tpr: 0.11	 fpr: 0.02
k: 20	 tau: 0.5	 w: [0.6, 0.4]	 tpr: 0.18	 fpr: 0.04
k: 20	 tau: 0.5	 w: [0.7, 0.3]	 tpr: 0.24	 fpr: 0.06
k: 50	 tau: 0.5	 w: [0.7, 0.3]	 tpr: 0.26	 fpr: 0.06
k: 50	 tau: 0.5	 w: [0.8, 0.2]	 tpr: 0.30	 fpr: 0.08
k: 50	 tau: 0.5	 w: [0.9, 0.1]	 tpr: 0.32	 fpr: 0.10
k: 50	 tau: 0.2	 w: [0.7, 0.3]	 tpr: 0.17	 fpr: 0.06
k: 50	 tau: 0.2	 w: [0.8, 0.2]	 tpr: 0.25	 fpr: 0.10
k: 50	 tau: 0.2	 w: [0.9, 0.1]	 tpr: 0.41	 fpr: 0.20
k: 50	 tau: 0.3	 w: [0.7, 0.3]	 tpr: 0.14	 fpr: 0.06
k: 50	 tau: 0.3	 w: [0.8, 0.2]	 tpr: 0.29	 fpr: 0.11
k: 50	 tau: 0.3	 w: [0.9, 0.1]	 tpr: 0.38	 fpr: 0.16
k: 50	 tau: 0.4	 w: [0.7, 0.3]	 tpr: 0.14	 fpr: 0.06
k: 50	 tau: 0.4	 w: [0.8, 0.2]	 tpr: 0.21	 fpr: 0.08
k: 50	 tau: 0.4	 w: [0.9, 0.1]	 tpr: 0.37	 fpr: 0.16
k: 50	 tau: 0.5	 w: [0.7, 0.3]	 tpr: 0.11	 fpr: 0.05
k: 50	 tau: 0.5	 w: [0.8, 0.2]	 tpr: 0.20	 fpr: 0.09
k: 50	 tau: 0.5	 w: [0.9, 0.1]	 tpr: 0.33	 fpr: 0.13
k: 50	 tau: 0.6	 w: [0.7, 0.3]	 tpr: 0.07	 fpr: 0.02
k: 50	 tau: 0.6	 w: [0.8, 0.2]	 tpr: 0.19	 fpr: 0.07
k: 50	 tau: 0.6	 w: [0.9, 0.1]	 tpr: 0.33	 fpr: 0.16
